Date,Age,Missing from,Circumstances,
,,,,
0,2,3,4,
2nd century BC,Unknown,Gulf of Aden,"Greek navigator who explored the Arabian Sea for Ptolemy VIII Physcon, who is thought to have perished during a journey to circumnavigate Africa, but this has not been definitively confirmed.",
c. 1291,Unknown,Atlantic Ocean,"The Genoese sailor and explorer brothers were lost while attempting the first oceanic journey from Europe to Asia. Their two galleys sailed out of the Mediterranean Sea and into the Atlantic Ocean, but were not heard from again.",
Ugolino Vivaldi,,,,
c. 1307 or c. 1312,Unknown,Atlantic Ocean,"The eighth mansa of the Mali Empire, who was said by his successor Mansa Musa to have disappeared in an attempt to discover the limits of the Atlantic Ocean. This account has fueled speculation that Musa's predecessor reached the Americas, but no evidence of his fate is known.",
c. 1346,Unknown,Atlantic Ocean,"Majorcan sailor who sailed down the west coast of Africa in search of the ""River of Gold"". The results of his quest, including his fate, are unknown.",
1487,Unknown,Atlantic Ocean,"Portuguese sailor who was the co-captain of an expedition aiming to explore the Atlantic Ocean. He and his Flemish partner Ferdinand Van Olm set sail, but never returned, and were presumed lost at sea.",
1499,~49,Northwest Passage,"Cabot, an Italian explorer, departed with five ships during an expedition to find a western route from Europe to Asia. There are no known records of what happened to him and his expedition after that; it is not known if they disappeared at sea, remained in North America, or returned safely to Europe.",
24 March 1500,Unknown,Cape Verde or Cape of Good Hope,"Portuguese sailor Vasco de Ataíde's ship was part of Pedro Álvares Cabral's 1500 expedition to India. On 24 March, the ship he captained and its 150 crew disappeared after sailing west toward Brazil. The chronicler of the expedition said that there were no strong or contrary winds that could have caused the loss.",
1501,50–51,Northwest Passage,"Portuguese explorer Gaspar Corte-Real disappeared on an expedition to discover the Northwest Passage from Europe to Asia. Two of his ships returned to Lisbon, but the third, with Gaspar on board, was lost and never heard from again.",
1502,53–54,Northwest Passage,"Miguel Corte-Real, a Portuguese explorer, disappeared while searching for his brother Gaspar. Like his brother, he took three ships and, like his brother's ship, his own was lost and never heard from again.",
1511,Unknown,Caribbean Sea,"Nicuesa, a Spanish conquistador and explorer, disappeared along with 17 crewmen while en route to Santo Domingo, after being denied entry to the colonial settlement of Santa María la Antigua del Darién.",
1526,Unknown,Pacific Ocean,"De Hoces was the commander of the San Lesmes which was one of the seven ships of the Loaísa expedition under García Jofre de Loaísa. It has been speculated that the San Lesmes, last seen in the Pacific Ocean in late May, reached Easter Island, the Polynesian archipelago, or even New Zealand.",
1579,Unknown,East China Sea,"A bureaucrat of the Ryukyu Kingdom, Ikegusuku Antō was sent as an envoy to China, but his ship was caught in a storm and disappeared in the sea in 1579 and was never seen again.",
23 June 1611,45–46,Northwest Passage,"Hudson went on multiple expeditions of present-day Canada and parts of the northeastern United States, searching for the Northwest Passage. In 1611, after wintering on the shore of James Bay, Hudson wanted to press on to the west, but most of his crew mutinied. The mutineers cast Hudson, his teenage son and seven others adrift; the Hudsons and their companions were never seen again.",
1638,Unknown,Satsuma Domain,"A member of Sanshikan, Urasoe Chōri went on a boat trip to Satsuma, but his ship was caught in a storm and disappeared in the sea. He is believed to have drowned.",
